Test Title:	3117 3D Patterns						
Date:	09/08/2024						
Time:	13:00						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards plus 45 degrees at 1.3 m tx height
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.495000	3.505000	0.000000	3.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
59.00	-68.020	-160.952	
60.00	-58.079	-120.566	
61.00	-54.996	-132.383	
62.00	-57.892	-146.249	
63.00	-69.232	-88.280	
64.00	-58.904	-39.048	
65.00	-55.312	-62.420	
66.00	-57.142	-79.066	
67.00	-71.405	-84.165	
68.00	-61.114	26.456	
69.00	-56.124	6.299	
70.00	-57.062	-25.093	
71.00	-64.492	-50.911	
72.00	-65.241	105.244	
73.00	-57.949	65.973	
74.00	-56.953	35.069	
75.00	-61.497	-2.916	
76.00	-73.818	-124.648	
77.00	-61.128	137.757	
78.00	-58.156	96.867	
79.00	-58.876	58.850	
80.00	-66.242	3.390	
81.00	-66.127	-146.808	
82.00	-58.447	165.028	
83.00	-58.306	127.941	
84.00	-62.166	79.911	
85.00	-66.924	-29.157	
86.00	-61.491	-117.819	
87.00	-57.484	-164.534	
88.00	-59.022	155.300	
89.00	-64.224	90.523	
90.00	-62.483	-20.527	
